"IndivYr","AnimalID","SprAvgNSD","FallAvgNSD","SprTotalNSD","FallTotalNSD"
"141490-15",141490,59.8679013102625,27.6283058669645,3711.80988123628,1270.90206988037
"141500-15",141500,NA,NA,0,0
"141520-15",141520,113.2655771886,NA,7022.46578569317,0
"141560-15",141560,71.758673920149,98.6177841043121,4449.03778304923,4536.41806879836
"141570-15",141570,NA,NA,0,0
"141580-15",141580,NA,NA,0,0
"141610-15",141610,66.5251461542965,NA,4124.55906156638,0
"141630-15",141630,NA,NA,0,0
"150360-15",150360,186.141598228688,150.460481549267,11540.7790901786,6921.18215126629
"150920-15",150920,99.8394671257638,9.46280720606387,6190.04696179736,435.289131478938
"151110-15",151110,21.770290970462,NA,1349.75804016864,0
"151170-15",151170,17.3087379884043,NA,1073.14175528107,0
"151200-15",151200,195.795161776114,78.4488584692149,12139.3000301191,3608.64748958388
"151220-15",151220,272.134094203298,NA,16872.3138406045,0
"151300-15",151300,22.4033679671625,NA,1389.00881396408,0
"151380-15",151380,37.6289636784736,NA,2332.99574806536,0
"151500-15",151500,NA,NA,0,0
"151570-15",151570,252.841978172503,146.085475051668,15676.2026466952,6719.93185237673
"151580-15",151580,87.0811643107178,NA,5399.03218726451,0
