"AnimalID","Date","Julian_date","J_day_new_spr","X_UTM","Y_UTM","NSD"
140380,2014-08-28,240,184,261855.186326124,5177530.50392209,1.06133962879937
140380,2014-08-29,241,185,263409.171888491,5178309.31851839,0.801150062614037
140380,2014-08-30,242,186,264197.136579826,5178884.83132901,3.14865329869135
140380,2014-08-31,243,187,262394.734368634,5179945.15972661,2.64773316706811
140400,2014-07-01,182,126,270242.417358981,5179681.00740432,19.9874511152285
140400,2014-07-02,183,127,270386.128611785,5179637.67888279,21.0631498351605
140400,2014-07-03,184,128,270695.51638117,5178322.85391499,34.3141585947096
140400,2014-07-04,185,129,270937.896003494,5178658.55069414,32.5725120628676
140400,2014-07-05,186,130,270678.786695305,5178485.95064014,32.6014160238198
140400,2014-07-06,187,131,270460.625587905,5178384.12039552,32.342482470325
140400,2014-07-07,188,132,271986.111276143,5177849.77752877,48.7317360913185
140400,2014-07-08,189,133,272267.880030641,5177005.67286314,61.2287755053383
140400,2014-07-09,190,134,273164.342881957,5176625.7160065,75.2150646476328
140400,2014-07-10,191,135,274197.95206522,5176633.52132889,87.5086053005905
140400,2014-07-11,192,136,274853.956351138,5177594.73165935,84.5037314448287
140400,2014-07-12,193,137,275263.067262995,5177893.18409492,87.1936266551995
140400,2014-07-13,194,138,273758.5238057,5180814.83765353,43.3175031951739
140400,2014-07-14,195,139,273555.388861147,5181309.85997374,38.6287697399301
140400,2014-07-15,196,140,272539.717566447,5180543.78922006,31.4406340421887
140400,2014-07-16,197,141,269989.087131063,5179059.77992972,23.6958899413625
140400,2014-07-17,198,142,270743.886275018,5179589.51867653,23.4845001858654
140400,2014-07-18,199,143,272118.379155444,5177301.75726417,56.2129245991727
140400,2014-07-19,200,144,272317.633009686,5176904.75681978,62.9774892118966
140400,2014-07-20,201,145,273915.728550938,5177473.08025166,73.3433416790516
140400,2014-07-21,202,146,274055.289744487,5177317.61795007,76.9528822897848
140400,2014-07-22,203,147,274064.478379442,5177358.44154615,76.5794468882479
140400,2014-07-23,204,148,274637.865308204,5176322.14981337,97.7114220679878
140400,2014-07-24,205,149,273925.384638995,5176712.75562473,82.9740575357811
140400,2014-07-25,206,150,271253.339225347,5177899.89158124,42.4145906123064
140400,2014-07-26,207,151,271720.715475611,5177914.38036543,45.8122935203102
140400,2014-07-27,208,152,270179.070499702,5178225.74683524,32.4549999542296
140400,2014-07-28,209,153,271999.960964881,5177811.41971671,49.2743011433671
140400,2014-07-29,210,154,272194.989823569,5177101.90312948,59.3545838274662
140400,2014-07-30,211,155,271549.60440137,5176433.1870497,62.7474084418838
140400,2014-07-31,212,156,271756.644374785,5177852.92856521,46.7751531316356
140400,2014-08-01,213,157,272982.368737491,5176874.042267,69.9769668648118
140400,2014-08-02,214,158,272672.148076627,5176766.71200258,68.1865880210802
140400,2014-08-03,215,159,268025.366364309,5174572.97033545,77.1004536571036
140400,2014-08-04,216,160,270760.866221086,5175823.40607747,66.0745173373329
140400,2014-08-05,217,161,271532.542738365,5176387.10172407,63.2551504168606
140400,2014-08-06,218,162,270664.601667134,5176310.00011192,58.4062076711888
140400,2014-08-07,219,163,272045.495317744,5177397.98959863,54.4175427418341
140400,2014-08-08,220,164,271570.782589483,5177594.05469896,48.2071804988222
140400,2014-08-09,221,165,269996.643597729,5179456.73846152,20.4846698610051
140400,2014-08-10,222,166,266449.480600113,5179537.97045774,16.0315616587242
140400,2014-08-11,223,167,269114.739396872,5176019.91261329,55.734594383324
140400,2014-08-12,224,168,268872.28015568,5175090.06954552,69.5900475295094
140400,2014-08-13,225,169,271223.868666862,5178331.63680248,37.6879279900885
140400,2014-08-14,226,170,271089.671617824,5178424.65515401,35.8313392485135
140400,2014-08-15,227,171,266331.830392288,5178480.94649991,25.505543967957
140400,2014-08-16,228,172,269763.271661874,5180952.30532348,10.059924526641
140400,2014-08-17,229,173,270691.422952295,5176611.63766623,54.4125782526807
140400,2014-08-18,230,174,270877.680430654,5176477.6830277,57.3901683958719
140400,2014-08-19,231,175,269382.747753752,5177218.0652387,40.4512116472368
